_id,_time_c,_time_u,date,_aid
1,1664537923,1664537923,1664496000,r1iJvHbkTs7K
2,1664576758,1664576758,1664582400,r1iJvHbkTs7K
3,1664780870,1664780870,1664755200,r1iJvHbkTs7K
4,1664872885,1664872885,1664841600,r1iJvHbkTs7K
5,1664986348,1664986348,1664928000,r1iJvHbkTs7K
6,1665045996,1665045996,1665014400,r1iJvHbkTs7K
7,1665136923,1665136923,1665100800,r1iJvHbkTs7K
8,1665240389,1665240389,1665187200,r1iJvHbkTs7K
9,1665416531,1665416531,1665360000,r1iJvHbkTs7K
10,1665496419,1665496419,1665446400,r1iJvHbkTs7K
11,1665569286,1665569286,1665532800,r1iJvHbkTs7K
12,1665652105,1665652105,1665619200,r1iJvHbkTs7K
13,1665778182,1665778182,1665705600,r1iJvHbkTs7K
14,1665821977,1665821977,1665792000,r1iJvHbkTs7K
15,1665994181,1665994181,1665964800,r1iJvHbkTs7K
16,1666075192,1666075192,1666051200,r1iJvHbkTs7K
17,1666208094,1666208094,1666137600,r1iJvHbkTs7K
18,1666273049,1666273049,1666224000,r1iJvHbkTs7K
19,1666376879,1666376879,1666310400,r1iJvHbkTs7K
20,1666437048,1666437048,1666396800,r1iJvHbkTs7K
21,1666529067,1666529067,1666483200,r1iJvHbkTs7K
22,1666600885,1666600885,1666569600,r1iJvHbkTs7K
23,1666688486,1666688486,1666656000,r1iJvHbkTs7K
24,1666804904,1666804904,1666742400,r1iJvHbkTs7K
25,1666860217,1666860217,1666828800,r1iJvHbkTs7K
26,1667029665,1667029665,1667001600,r1iJvHbkTs7K
27,1667080966,1667080966,1667088000,r1iJvHbkTs7K
28,1667225263,1667225263,1667174400,r1iJvHbkTs7K
29,1667293338,1667293338,1667260800,r1iJvHbkTs7K
30,1667391514,1667391514,1667347200,r1iJvHbkTs7K
31,1667466236,1667466236,1667433600,r1iJvHbkTs7K
32,1667584667,1667584667,1667520000,r1iJvHbkTs7K
33,1667834607,1667834607,1667779200,r1iJvHbkTs7K
34,1667899594,1667899594,1667865600,r1iJvHbkTs7K
35,1667995254,1667995254,1667952000,r1iJvHbkTs7K
36,1668080466,1668080466,1668038400,r1iJvHbkTs7K
37,1668166263,1668166263,1668124800,r1iJvHbkTs7K
38,1668450569,1668450569,1668384000,r1iJvHbkTs7K
39,1668494778,1668494778,1668470400,r1iJvHbkTs7K
40,1668584626,1668584626,1668556800,r1iJvHbkTs7K
41,1668694858,1668694858,1668643200,r1iJvHbkTs7K
42,1668753876,1668753876,1668729600,r1iJvHbkTs7K
43,1668835468,1668835468,1668816000,r1iJvHbkTs7K
44,1668927862,1668927862,1668902400,r1iJvHbkTs7K
45,1669018731,1669018731,1668988800,r1iJvHbkTs7K
46,1669094582,1669094582,1669075200,r1iJvHbkTs7K
47,1669186170,1669186170,1669161600,r1iJvHbkTs7K
48,1669268138,1669268138,1669248000,r1iJvHbkTs7K
49,1669358605,1669358605,1669334400,r1iJvHbkTs7K
50,1669444201,1669444201,1669420800,r1iJvHbkTs7K
51,1669635822,1669635822,1669593600,r1iJvHbkTs7K
52,1669717190,1669717190,1669680000,r1iJvHbkTs7K
53,1669790111,1669790111,1669766400,r1iJvHbkTs7K
54,1669881099,1669881099,1669852800,r1iJvHbkTs7K
55,1670061571,1670061571,1670025600,r1iJvHbkTs7K
56,1670248195,1670248195,1670198400,r1iJvHbkTs7K
57,1670318985,1670318985,1670284800,r1iJvHbkTs7K
58,1670408929,1670408929,1670371200,r1iJvHbkTs7K
59,1670519477,1670519477,1670457600,r1iJvHbkTs7K
60,1670575301,1670575301,1670544000,r1iJvHbkTs7K
61,1670660928,1670660928,1670630400,r1iJvHbkTs7K
62,1670924208,1670924208,1670889600,r1iJvHbkTs7K
63,1671046079,1671046079,1670976000,r1iJvHbkTs7K
64,1671118813,1671118813,1671062400,r1iJvHbkTs7K
65,1671275337,1671275337,1671235200,r1iJvHbkTs7K
66,1671446423,1671446423,1671408000,r1iJvHbkTs7K
67,1671532080,1671532080,1671494400,r1iJvHbkTs7K
68,1671647760,1671647760,1671580800,r1iJvHbkTs7K
69,1671721477,1671721477,1671667200,r1iJvHbkTs7K
70,1671873417,1671873417,1671840000,r1iJvHbkTs7K
71,1672064798,1672064798,1672012800,r1iJvHbkTs7K
72,1672131051,1672131051,1672099200,r1iJvHbkTs7K
73,1672236932,1672236932,1672185600,r1iJvHbkTs7K
74,1672317387,1672317387,1672272000,r1iJvHbkTs7K
75,1672421603,1672421603,1672358400,r1iJvHbkTs7K
76,1672492716,1672492716,1672444800,r1iJvHbkTs7K
77,1672650872,1672650872,1672617600,r1iJvHbkTs7K
78,1672739149,1672739149,1672704000,r1iJvHbkTs7K
79,1672853214,1672853214,1672790400,r1iJvHbkTs7K
80,1672929238,1672929238,1672876800,r1iJvHbkTs7K
81,1673000971,1673000971,1672963200,r1iJvHbkTs7K
82,1673119988,1673119988,1673049600,r1iJvHbkTs7K
83,1673177721,1673177721,1673136000,r1iJvHbkTs7K
84,1673272016,1673272016,1673222400,r1iJvHbkTs7K
85,1673355150,1673355150,1673308800,r1iJvHbkTs7K
86,1673450990,1673450990,1673395200,r1iJvHbkTs7K
87,1673536372,1673536372,1673481600,r1iJvHbkTs7K
88,1673644544,1673644544,1673568000,r1iJvHbkTs7K
89,1673744454,1673744454,1673740800,r1iJvHbkTs7K
90,1673881245,1673881245,1673827200,r1iJvHbkTs7K
91,1674553828,1674553828,1674518400,r1iJvHbkTs7K
92,1674658939,1674658939,1674604800,r1iJvHbkTs7K
93,1674725804,1674725804,1674691200,r1iJvHbkTs7K
94,1674831723,1674831723,1674777600,r1iJvHbkTs7K
95,1674907555,1674907555,1674864000,r1iJvHbkTs7K
96,1675157520,1675157520,1675123200,r1iJvHbkTs7K
97,1675237846,1675237846,1675209600,r1iJvHbkTs7K
98,1675353016,1675353016,1675296000,r1iJvHbkTs7K
99,1675414715,1675414715,1675382400,r1iJvHbkTs7K
100,1675504116,1675504116,1675468800,r1iJvHbkTs7K
101,1675713921,1675713921,1675641600,r1iJvHbkTs7K
102,1675761653,1675761653,1675728000,r1iJvHbkTs7K
103,1675843744,1675843744,1675814400,r1iJvHbkTs7K
104,1675933262,1675933262,1675900800,r1iJvHbkTs7K
105,1676027130,1676027130,1675987200,r1iJvHbkTs7K
106,1676125620,1676125620,1676073600,r1iJvHbkTs7K
107,1676288134,1676288134,1676246400,r1iJvHbkTs7K
108,1676367124,1676367124,1676332800,r1iJvHbkTs7K
109,1676458874,1676458874,1676419200,r1iJvHbkTs7K
110,1676539557,1676539557,1676505600,r1iJvHbkTs7K
111,1676669625,1676669625,1676592000,r1iJvHbkTs7K
112,1676715251,1676715251,1676678400,r1iJvHbkTs7K
113,1676971635,1676971635,1676937600,r1iJvHbkTs7K
114,1677054793,1677054793,1677024000,r1iJvHbkTs7K
115,1677148217,1677148217,1677110400,r1iJvHbkTs7K
116,1677318830,1677318830,1677283200,r1iJvHbkTs7K
117,1677448053,1677448053,1677369600,r1iJvHbkTs7K
118,1677575771,1677575771,1677542400,r1iJvHbkTs7K
119,1677681562,1677681562,1677628800,r1iJvHbkTs7K
120,1677712910,1677712910,1677715200,r1iJvHbkTs7K
121,1677833582,1677833582,1677801600,r1iJvHbkTs7K
122,1677917202,1677917202,1677888000,r1iJvHbkTs7K
123,1678033876,1678033876,1677974400,r1iJvHbkTs7K
124,1678088387,1678088387,1678060800,r1iJvHbkTs7K
125,1678179789,1678179789,1678147200,r1iJvHbkTs7K
126,1678264802,1678264802,1678233600,r1iJvHbkTs7K
127,1678352231,1678352231,1678320000,r1iJvHbkTs7K
128,1678432876,1678432876,1678406400,r1iJvHbkTs7K
129,1678554498,1678554498,1678492800,r1iJvHbkTs7K
130,1678713220,1678713220,1678665600,r1iJvHbkTs7K
131,1678805500,1678805500,1678752000,r1iJvHbkTs7K
132,1678871899,1678871899,1678838400,r1iJvHbkTs7K
133,1678960577,1678960577,1678924800,r1iJvHbkTs7K
134,1679069396,1679069396,1679011200,r1iJvHbkTs7K
135,1679135451,1679135451,1679097600,r1iJvHbkTs7K
136,1679389007,1679389007,1679356800,r1iJvHbkTs7K
137,1679493232,1679493232,1679443200,r1iJvHbkTs7K
138,1679564100,1679564100,1679529600,r1iJvHbkTs7K
139,1679664293,1679664293,1679616000,r1iJvHbkTs7K
140,1679729287,1679729287,1679702400,r1iJvHbkTs7K
141,1679990837,1679990837,1679961600,r1iJvHbkTs7K
142,1680074467,1680074467,1680048000,r1iJvHbkTs7K
143,1680164291,1680164291,1680134400,r1iJvHbkTs7K
144,1680264059,1680264059,1680220800,r1iJvHbkTs7K
145,1680525214,1680525214,1680480000,r1iJvHbkTs7K
146,1680595736,1680595736,1680566400,r1iJvHbkTs7K
147,1680788416,1680788416,1680739200,r1iJvHbkTs7K
148,1680859553,1680859553,1680825600,r1iJvHbkTs7K
149,1681050010,1681050010,1680998400,r1iJvHbkTs7K
150,1681247469,1681247469,1681171200,r1iJvHbkTs7K
151,1681302013,1681302013,1681257600,r1iJvHbkTs7K
152,1681380761,1681380761,1681344000,r1iJvHbkTs7K
153,1681457192,1681457192,1681430400,r1iJvHbkTs7K
154,1681550514,1681550514,1681516800,r1iJvHbkTs7K
155,1681720290,1681720290,1681689600,r1iJvHbkTs7K
156,1681803478,1681803478,1681776000,r1iJvHbkTs7K
157,1681896648,1681896648,1681862400,r1iJvHbkTs7K
158,1681977788,1681977788,1681948800,r1iJvHbkTs7K
159,1682059639,1682059639,1682035200,r1iJvHbkTs7K
160,1682194923,1682194923,1682121600,r1iJvHbkTs7K
161,1682415936,1682415936,1682380800,r1iJvHbkTs7K
162,1682507063,1682507063,1682467200,r1iJvHbkTs7K
163,1682622012,1682622012,1682553600,r1iJvHbkTs7K
164,1682672661,1682672661,1682640000,r1iJvHbkTs7K
165,1682835225,1682835225,1682812800,r1iJvHbkTs7K
166,1683024187,1683024187,1682985600,r1iJvHbkTs7K
167,1683100662,1683100662,1683072000,r1iJvHbkTs7K
168,1683199145,1683199145,1683158400,r1iJvHbkTs7K
169,1683277791,1683277791,1683244800,r1iJvHbkTs7K
170,1683326020,1683326020,1683331200,r1iJvHbkTs7K
171,1683452221,1683452221,1683417600,r1iJvHbkTs7K
172,1683539734,1683539734,1683504000,r1iJvHbkTs7K
173,1683622720,1683622720,1683590400,r1iJvHbkTs7K
174,1683714087,1683714087,1683676800,r1iJvHbkTs7K
175,1683794054,1683794054,1683763200,r1iJvHbkTs7K
176,1683897856,1683897856,1683849600,r1iJvHbkTs7K
177,1684045830,1684045830,1684022400,r1iJvHbkTs7K
178,1684114039,1684114039,1684108800,r1iJvHbkTs7K
179,1684203956,1684203956,1684195200,r1iJvHbkTs7K
180,1684300638,1684300638,1684281600,r1iJvHbkTs7K
181,1684383489,1684383489,1684368000,r1iJvHbkTs7K
182,1684473170,1684473170,1684454400,r1iJvHbkTs7K
183,1684664040,1684664040,1684627200,r1iJvHbkTs7K
184,1684748377,1684748377,1684713600,r1iJvHbkTs7K
185,1684833684,1684833684,1684800000,r1iJvHbkTs7K
186,1684925972,1684925972,1684886400,r1iJvHbkTs7K
187,1685000674,1685000674,1684972800,r1iJvHbkTs7K
188,1685106227,1685106227,1685059200,r1iJvHbkTs7K
189,1685185820,1685185820,1685145600,r1iJvHbkTs7K
190,1685351566,1685351566,1685318400,r1iJvHbkTs7K
191,1685427309,1685427309,1685404800,r1iJvHbkTs7K
192,1685601081,1685601081,1685577600,r1iJvHbkTs7K
193,1685684226,1685684226,1685664000,r1iJvHbkTs7K
194,1685811787,1685811787,1685750400,r1iJvHbkTs7K
195,1685957305,1685957305,1685923200,r1iJvHbkTs7K
196,1686054559,1686054559,1686009600,r1iJvHbkTs7K
197,1686121303,1686121303,1686096000,r1iJvHbkTs7K
198,1686209910,1686209910,1686182400,r1iJvHbkTs7K
199,1686300827,1686300827,1686268800,r1iJvHbkTs7K
200,1686466070,1686466070,1686441600,r1iJvHbkTs7K
201,1686557276,1686557276,1686528000,r1iJvHbkTs7K
202,1686647403,1686647403,1686614400,r1iJvHbkTs7K
203,1686762087,1686762087,1686700800,r1iJvHbkTs7K
204,1686817263,1686817263,1686787200,r1iJvHbkTs7K
205,1686912706,1686912706,1686873600,r1iJvHbkTs7K
206,1686991031,1686991031,1686960000,r1iJvHbkTs7K
207,1687077542,1687077542,1687046400,r1iJvHbkTs7K
208,1687376328,1687376328,1687305600,r1iJvHbkTs7K
209,1687420462,1687420462,1687392000,r1iJvHbkTs7K
210,1687501018,1687501018,1687478400,r1iJvHbkTs7K
211,1687597305,1687597305,1687564800,r1iJvHbkTs7K
212,1687673319,1687673319,1687651200,r1iJvHbkTs7K
213,1687959620,1687959620,1687910400,r1iJvHbkTs7K
214,1688045188,1688045188,1687996800,r1iJvHbkTs7K
215,1688115180,1688115180,1688083200,r1iJvHbkTs7K
216,1688203259,1688203259,1688169600,r1iJvHbkTs7K
217,1688384507,1688384507,1688342400,r1iJvHbkTs7K
218,1688458486,1688458486,1688428800,r1iJvHbkTs7K
219,1688540971,1688540971,1688515200,r1iJvHbkTs7K
220,1688633876,1688633876,1688601600,r1iJvHbkTs7K
221,1688719556,1688719556,1688688000,r1iJvHbkTs7K
222,1688894221,1688894221,1688860800,r1iJvHbkTs7K
223,1689015566,1689015566,1688947200,r1iJvHbkTs7K
224,1689065466,1689065466,1689033600,r1iJvHbkTs7K
225,1689156620,1689156620,1689120000,r1iJvHbkTs7K
226,1689246274,1689246274,1689206400,r1iJvHbkTs7K
227,1689323556,1689323556,1689292800,r1iJvHbkTs7K
228,1689407311,1689407311,1689379200,r1iJvHbkTs7K
229,1689582696,1689582696,1689552000,r1iJvHbkTs7K
230,1689693032,1689693032,1689638400,r1iJvHbkTs7K
231,1689754795,1689754795,1689724800,r1iJvHbkTs7K
232,1689849842,1689849842,1689811200,r1iJvHbkTs7K
233,1689931010,1689931010,1689897600,r1iJvHbkTs7K
234,1690006808,1690006808,1689984000,r1iJvHbkTs7K
235,1690109192,1690109192,1690070400,r1iJvHbkTs7K
236,1690181806,1690181806,1690156800,r1iJvHbkTs7K
237,1690278293,1690278293,1690243200,r1iJvHbkTs7K
238,1690358619,1690358619,1690329600,r1iJvHbkTs7K
239,1690443488,1690443488,1690416000,r1iJvHbkTs7K
240,1690546400,1690546400,1690502400,r1iJvHbkTs7K
241,1690623329,1690623329,1690588800,r1iJvHbkTs7K
242,1690809199,1690809199,1690761600,r1iJvHbkTs7K
243,1690868831,1690868831,1690848000,r1iJvHbkTs7K
244,1690971156,1690971156,1690934400,r1iJvHbkTs7K
245,1691044451,1691044451,1691020800,r1iJvHbkTs7K
246,1691233950,1691233950,1691193600,r1iJvHbkTs7K
247,1691397965,1691397965,1691366400,r1iJvHbkTs7K
248,1691484405,1691484405,1691452800,r1iJvHbkTs7K
249,1691568257,1691568257,1691539200,r1iJvHbkTs7K
250,1691671191,1691671191,1691625600,r1iJvHbkTs7K
251,1691754923,1691754923,1691712000,r1iJvHbkTs7K
252,1692082921,1692082921,1692057600,r1iJvHbkTs7K
253,1692204445,1692204445,1692144000,r1iJvHbkTs7K
254,1692283026,1692283026,1692230400,r1iJvHbkTs7K
255,1692345839,1692345839,1692316800,r1iJvHbkTs7K
256,1692444114,1692444114,1692403200,r1iJvHbkTs7K
257,1692482611,1692482611,1692489600,r1iJvHbkTs7K
258,1692778380,1692778380,1692748800,r1iJvHbkTs7K
259,1692901373,1692901373,1692835200,r1iJvHbkTs7K
260,1692993862,1692993862,1692921600,r1iJvHbkTs7K
261,1693226625,1693226625,1693180800,r1iJvHbkTs7K
262,1693333148,1693333148,1693267200,r1iJvHbkTs7K
263,1693382430,1693382430,1693353600,r1iJvHbkTs7K
264,1693471143,1693471143,1693440000,r1iJvHbkTs7K
265,1693824234,1693824234,1693785600,r1iJvHbkTs7K
266,1693991961,1693991961,1693958400,r1iJvHbkTs7K
267,1694076489,1694076489,1694044800,r1iJvHbkTs7K
268,1694172056,1694172056,1694131200,r1iJvHbkTs7K
269,1694251777,1694251777,1694217600,r1iJvHbkTs7K
270,1694371515,1694371515,1694304000,r1iJvHbkTs7K
271,1694430581,1694430581,1694390400,r1iJvHbkTs7K
272,1694532726,1694532726,1694476800,r1iJvHbkTs7K
273,1695059140,1695059140,1694995200,r1iJvHbkTs7K
274,1695464617,1695464617,1695427200,r1iJvHbkTs7K
275,1695653443,1695653443,1695600000,r1iJvHbkTs7K
276,1695758393,1695758393,1695686400,r1iJvHbkTs7K
277,1695826854,1695826854,1695772800,r1iJvHbkTs7K
278,1695888037,1695888037,1695859200,r1iJvHbkTs7K
